,o2o_shop_code,o2o_shop_name,open_date,open_time,close_time,close_date,business_days,district,address_en,address_chi,allow_chill,allow_fresh,allow_frozen,not_allow_return
21,GIN,Tin Shui Wai - +WOO,2019-05-06T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop No. G84B, G/F, Phase 1, Fortune Kingswood, 12-18 Tin Yan Road, Tin Shui Wai (pick-up)",天水圍嘉湖銀座1期地下G84B號舖 (自取),True,False,True,False
22,TFP,Kowloon Bay - Telford Plaza Shop,2020-06-07T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop P24-P25, Podium, Telford Plaza, Kowloon Bay, Kowloon (Opposite to MCL Cinema)",九龍 九龍灣德福廣場平台P24-P25號舖 (MCL戲院對面),True,False,True,False
23,APS,Kowloon Bay - Amoy Plaza Shop,2018-09-30T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop 58 & 58A, G/F, Amoy Plaza, 77 Ngau Tau Kok Road, Kowloon Bay (pick-up)",淘大商場地下58-58A號舖  (自取),True,False,True,False
24,TCS,Tung Chung MTR Station shop (No alcohol and oil products allowed),2018-11-07T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop TUC27, Tung Chung Station, Tung Chung (Pick-up)",港鐵東涌站TUC 27號舖 (自取),True,False,True,False
25,SWH,Sai Wan Ho - Shau Kei Wan Road Shop,2021-04-12T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,HK,"Ground Floor, No. 86, Shau Kei Wan Road, Sai Wan Ho",西灣河 筲箕灣道 86號地下,True,False,True,False
26,TYS,Tsing Yi MTR Station shop (No alcohol and oil products allowed),2018-08-06T00:00:00+08:00,2022-10-08 10:30:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop TSY 6, Tsing Yi MTR Station, Tsing Yi (pick-up)",港鐵青衣站TSY 6號舖 (自取),True,False,True,False
27,ZPB,Tseung Kwan O - Aplex Pick up point,2022-02-14T00:00:00+08:00,2022-10-08 11:00:00,2022-10-08 19:30:00,,1/2/3/4/5/6/7,NT,"Shop262, Level 2, Metro City Plaza I, Tseung Kwan O, New Territories",將軍澳新都城商場一期2樓262號舖,True,False,True,True
28,ZBA,Sai Wan - The Westwood Baleno Pickup Point (No frozen and chilled items allowed),2020-02-21T00:00:00+08:00,2022-10-08 11:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6/7,HK,"Shop UG05, UG/F, The Westwood, 8 Belchers Street, Sai Wan, Hong Kong",香港西環卑路乍街八號西寶城高層地下UG05號舖,False,False,False,True
29,ZRK,Sha Tin - Rhino Rhino（Shek Mun )Pickup Point,2022-03-15T00:00:00+08:00,2022-10-08 11:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6,NT,"Shop 162,1/F, Kings Wing Plaza 1, 3 On Kwan Street, Shek Mun, Sha Tin",沙田石門京瑞廣場1期1樓162號舖,True,False,True,True
30,ZLE,Yuen Long - RIVA Shopping Arcade iEAT Pickup Point,2021-07-01T00:00:00+08:00,2022-10-08 11:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 5, G/F, RIVA Shopping Arcade, 1 Ying Ho Road, Yuen Long, New Territories",新界 元朗映河路1號爾巒商場地下5號舖,True,False,True,True
31,ZQE,Tai Po - Fung Kee Noodles Pick up point,2022-03-01T00:00:00+08:00,2022-10-08 11:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop S13, G/F, Kwong Fuk Market, Kwong Fuk Commercial Centre, 28 Plover Cove Road, Tai Po",大埔寶湖道 28 號廣福商場地下廣福街市 S13 號舖,True,False,True,True
32,ZLB,Nam Cheong - V Walk Shopping Mall iEAT Pickup Point,2021-07-01T00:00:00+08:00,2022-10-08 11:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop 42, L2, V Walk Shopping Mall, 28 Sham Mong Road, Kowloon",九龍 深旺道28號匯璽V WALK商場L2層42號舖,True,False,True,True
33,ZDA,Tai Koo - Cityplaza GIORDANO Pickup Point (No frozen and chilled items allowed),2020-02-21T00:00:00+08:00,2022-10-08 11:30:00,2022-10-08 20:00:00,,1/2/3/4/5/6/7,HK,"Shop 306, 3/F, Cityplaza, 18 Taikoo Shing Road, Island East, Hong Kong",香港 太古太古城道18號太古城中心3樓 306 號舖,False,False,False,True
34,ZTB,Causeway Bay - C&H Pickup Point,2022-06-20T00:00:00+08:00,2022-10-08 11:30:00,2022-10-08 20:30:00,,1/2/3/4/5/6,HK,"Shop 256, Chee On Building, Causeway Bay",銅鑼灣東角道24-26號東角256鋪,False,False,False,True
35,ZDO,Lok Fu - Lok Fu Plaza GIORDANO Pickup Point (No frozen and chilled items allowed),2020-04-27T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 18:30:00,,1/2/3/4/5/6/7,KLN,"Shop U118, UG1 Floor, Lok Fu Plaza, 198 Junction Rd, Kowloon",九龍橫頭磡聯合道 198 號樂富廣場 B 區 UG1 樓 U118 號舖,False,False,False,True
36,ZQJ,Shau Kei Wan - 阿翁廚房 Pickup Point,2022-03-01T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6/7,HK,"Shops 14A-16A, G/F, Hung Lee Building, 30-50 Ngoi Man Street, Shau Kei Wan",筲箕灣愛民街30-50號鴻利大廈地下14A-16A號舖,True,False,True,True
37,ZSZ,Tin Shui Wai - Kingswood Richly Plaza 1PM Pickup Point,2022-06-20T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6,NT,"Shop 187, 2/F , Kingswood Richly Plaza, Tin Shui Wai",天水圍新北江商場2樓187號鋪,False,False,False,False
38,ZSY,Aberdeen - 1PM Pickup Point,2022-06-15T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6,HK,"Shop H19B, Chi Fu Landmark, Aberdeen",香港仔置富道19號置富南區廣場H19B鋪,False,False,False,False
39,ZSW,Hang Hau - 1PM Pickup Point,2022-06-15T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6,KLN,Shop B133 1/F Nan Fung Plaza Hang Hau Tseung Kwan O,將軍澳坑口南豐廣場1/F B133鋪,False,False,False,False
40,ZTA,Yuen Long - Ho Shun Lee Building 1PM Pickup Point,2022-06-20T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 20:00:00,,1/2/3/4/5/6,NT,"Shop G49, Ho Shun Lee Shopping Centre, Yuen Long",元朗好順利商場地下49號鋪,False,False,False,False
41,DPA,Tsuen Wan - D Park Shop,2019-03-28T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop 2025 on Level, D.Park, 398 Castle Peak Road, Tsuen Wan, New Territories (pick-up)",荃灣青山公路荃灣段398號愉景新城2025號舖 (自取),True,False,True,False
42,ARG,Mong Kok - Argyle Street Shop,2022-09-01T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Ground Floor, No. 78 Argyle Street, Kowloon",九龍 亞皆老街 78號地下,True,False,True,False
43,KTP,Kwun Tong - Kwun Tong Plaza Shop,2021-05-22T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop 103 & 104 1/F, No. 68 Hoi Yuen Road, Kwun Tong Plaza, KLN",九龍觀塘開源道68號觀塘廣場1層103-104號舖,True,False,True,False
44,SLE,Kwai Chung - Shek Lei Shop,2021-06-13T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop B221, 2/F, Shek Lei Shopping Centre Phase 2",新界葵涌大隴街110號石籬商場二期 二樓B221號舖,True,False,True,False
45,SCE,Lam Tin - Sceneway Plaza Shop,2019-05-06T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop 2C, Site 1, L4, Sceneway Garden, No. 8 Sceneway Road, Lam Tin, Kowloon (pick-up)",藍田匯景商場4樓2C舖 (自取),True,False,True,False
46,MFS,Mei Foo - Mount Sterling Mall Shop,,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,KLN,"Shop N61A, G/F, Nos. 1-11, 15-17 Mount Sterling Mall, Mei Foo Sun Chuen (pick-up)",美孚新邨萬事達廣場15-17號N61A地舖 (自取),True,False,True,False
47,TPM,Tai Po Market MTR Station shop (No alcohol and oil products allowed),2019-05-22T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"MTR Station Shop No. TAP 3 at Tai Po Market Station, Tai Po (pick-up)",港鐵大埔墟站TAP 3號舖 (自取),True,False,True,False
48,GCS,Sha Tin - Sha Tin Wai Greenfield Court Shop,2019-01-17T00:00:00+08:00,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop A, G/F, Greenfield Court Shop, 9-11 She Tin Wai Road, Shatin (pick-up)",沙田沙田圍路9-11號田園閣地下A號舖  (自取),True,False,True,True
49,YLS,Yuen Long - Kin Yip Street Shop,,2022-10-08 12:00:00,2022-10-08 21:00:00,,1/2/3/4/5/6/7,NT,"Shop C, G/F, Yan Yee Bldg, No. 88 Kin Yip Street, Yuen Long (pick-up)",建業街88號仁義大廈地下C舖 (自取),True,False,True,False
